Load, Connected KVA, Allocation Factor, Phases, kW, kvar, PF, Model
LOAD21,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
LOAD22,      0.0, 0.500, 1,      1.1,      0.4, 0.950, 1
LOAD23,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
LOAD24,      0.0, 0.500, 1,      1.1,      0.4, 0.950, 1
LOAD25,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
LOAD26,      0.0, 0.500, 1,      1.1,      0.4, 0.950, 1
LOAD27,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
LOAD28,      0.0, 0.500, 1,      1.1,      0.4, 0.950, 1
LOAD29,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
LOAD210,      0.0, 0.500, 1,      1.1,      0.4, 0.950, 1
LOAD211,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
LOAD212,      0.0, 0.500, 1,      1.1,      0.4, 0.950, 1
LOAD213,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
LOAD214,      0.0, 0.500, 1,      1.1,      0.4, 0.950, 1
LOAD215,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
LOAD216,      0.0, 0.500, 1,      1.1,      0.4, 0.950, 1
LOAD217,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
LOAD218,      0.0, 0.500, 1,      1.1,      0.4, 0.950, 1
LOAD219,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
LOAD220,      0.0, 0.500, 1,      1.1,      0.4, 0.950, 1
LOAD221,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
LOAD222,      0.0, 0.500, 1,      1.1,      0.4, 0.950, 1
LOAD223,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
LOAD224,      0.0, 0.500, 1,      1.1,      0.4, 0.950, 1
LOAD225,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
LOAD226,      0.0, 0.500, 1,      1.1,      0.4, 0.950, 1
LOAD227,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
LOAD228,      0.0, 0.500, 1,      1.1,      0.4, 0.950, 1
LOAD229,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
LOAD230,      0.0, 0.500, 1,      1.1,      0.4, 0.950, 1
LOAD231,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
